fid,prow,pcol,grow,prow_pcol_grow,exp,plot.x,sub_plot,exp_plot_subplot,exp_plot,experiment,plot.y,oatName,peaName,pea_type,oat_percent,pea_percent
45,1,15,3,1_15_3,diversity,87,1,diversity_87_1,diversity87,diversity,87,IL17-7334,Icicle Winter Peas,forage,75,75
46,1,16,1,1_16_1,diversity,86,3,diversity_86_3,diversity86,diversity,86,SD181237,DS Admiral,field,75,75
47,1,16,2,1_16_2,diversity,86,2,diversity_86_2,diversity86,diversity,86,SD181237,DS Admiral,field,75,75
48,1,16,3,1_16_3,diversity,86,1,diversity_86_1,diversity86,diversity,86,SD181237,DS Admiral,field,75,75
49,1,17,1,1_17_1,diversity,85,3,diversity_85_3,diversity85,diversity,85,IL17-1704,Organic 4010,forage,75,75
50,1,17,2,1_17_2,diversity,85,2,diversity_85_2,diversity85,diversity,85,IL17-1704,Organic 4010,forage,75,75
51,1,17,3,1_17_3,diversity,85,1,diversity_85_1,diversity85,diversity,85,IL17-1704,Organic 4010,forage,75,75
52,1,18,1,1_18_1,diversity,84,3,diversity_84_3,diversity84,diversity,84,BUCKSKIN,ND Dawn,field,75,75
53,1,18,2,1_18_2,diversity,84,2,diversity_84_2,diversity84,diversity,84,BUCKSKIN,ND Dawn,field,75,75
54,1,18,3,1_18_3,diversity,84,1,diversity_84_1,diversity84,diversity,84,BUCKSKIN,ND Dawn,field,75,75
55,1,19,1,1_19_1,diversity,83,3,diversity_83_3,diversity83,diversity,83,ND170376,ND Dawn,field,75,75
56,1,19,2,1_19_2,diversity,83,2,diversity_83_2,diversity83,diversity,83,ND170376,ND Dawn,field,75,75
57,1,19,3,1_19_3,diversity,83,1,diversity_83_1,diversity83,diversity,83,ND170376,ND Dawn,field,75,75
58,1,20,1,1_20_1,diversity,82,3,diversity_82_3,diversity82,diversity,82,MN18038X_008,Organic 4010,forage,75,75
59,1,20,2,1_20_2,diversity,82,2,diversity_82_2,diversity82,diversity,82,MN18038X_008,Organic 4010,forage,75,75
60,1,20,3,1_20_3,diversity,82,1,diversity_82_1,diversity82,diversity,82,MN18038X_008,Organic 4010,forage,75,75
61,1,21,1,1_21_1,diversity,81,3,diversity_81_3,diversity81,diversity,81,NEWBURG,NDP140510Y,field,75,75
62,1,21,2,1_21_2,diversity,81,2,diversity_81_2,diversity81,diversity,81,NEWBURG,NDP140510Y,field,75,75
63,1,21,3,1_21_3,diversity,81,1,diversity_81_1,diversity81,diversity,81,NEWBURG,NDP140510Y,field,75,75
64,1,22,1,1_22_1,guard,OG_2,3,guard_OG_2_3,guardOG_2,guard,OG_2,Steuben,na,na,100,na
65,1,22,2,1_22_2,guard,OG_2,2,guard_OG_2_2,guardOG_2,guard,OG_2,Steuben,na,na,100,na
66,1,22,3,1_22_3,guard,OG_2,1,guard_OG_2_1,guardOG_2,guard,OG_2,Steuben,na,na,100,na
67,1,23,1,1_23_1,density,100,3,density_100_3,density100,density,100,OT7100,delta field pea,grain,100,50
68,1,23,2,1_23_2,density,100,2,density_100_2,density100,density,100,OT7100,delta field pea,grain,100,50
69,1,23,3,1_23_3,density,100,1,density_100_1,density100,density,100,OT7100,delta field pea,grain,100,50
70,1,24,1,1_24_1,density,99,3,density_99_3,density99,density,99,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,50
71,1,24,2,1_24_2,density,99,2,density_99_2,density99,density,99,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,50
72,1,24,3,1_24_3,density,99,1,density_99_1,density99,density,99,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,50
73,1,25,1,1_25_1,density,98,3,density_98_3,density98,density,98,OT7100,DS Admiral,grain,50,100
74,1,25,2,1_25_2,density,98,2,density_98_2,density98,density,98,OT7100,DS Admiral,grain,50,100
75,1,25,3,1_25_3,density,98,1,density_98_1,density98,density,98,OT7100,DS Admiral,grain,50,100
76,1,26,1,1_26_1,density,97,3,density_97_3,density97,density,97,OT7100,AUSTRIAN FIELD PEAS,forage,100,100
77,1,26,2,1_26_2,density,97,2,density_97_2,density97,density,97,OT7100,AUSTRIAN FIELD PEAS,forage,100,100
78,1,26,3,1_26_3,density,97,1,density_97_1,density97,density,97,OT7100,AUSTRIAN FIELD PEAS,forage,100,100
79,1,27,1,1_27_1,density,96,3,density_96_3,density96,density,96,IL17-1253,DS Admiral,grain,0,100
80,1,27,2,1_27_2,density,96,2,density_96_2,density96,density,96,IL17-1253,DS Admiral,grain,0,100
81,1,27,3,1_27_3,density,96,1,density_96_1,density96,density,96,IL17-1253,DS Admiral,grain,0,100
82,1,28,1,1_28_1,density,95,3,density_95_3,density95,density,95,ND180256,AUSTRIAN FIELD PEAS,forage,50,100
83,1,28,2,1_28_2,density,95,2,density_95_2,density95,density,95,ND180256,AUSTRIAN FIELD PEAS,forage,50,100
84,1,28,3,1_28_3,density,95,1,density_95_1,density95,density,95,ND180256,AUSTRIAN FIELD PEAS,forage,50,100
85,1,29,1,1_29_1,density,94,3,density_94_3,density94,density,94,ND180256,DS Admiral,grain,50,100
86,1,29,2,1_29_2,density,94,2,density_94_2,density94,density,94,ND180256,DS Admiral,grain,50,100
87,1,29,3,1_29_3,density,94,1,density_94_1,density94,density,94,ND180256,DS Admiral,grain,50,100
88,1,30,1,1_30_1,density,93,3,density_93_3,density93,density,93,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,50
89,1,30,2,1_30_2,density,93,2,density_93_2,density93,density,93,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,50
90,1,30,3,1_30_3,density,93,1,density_93_1,density93,density,93,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,50
91,1,31,1,1_31_1,density,92,3,density_92_3,density92,density,92,MN18038X_008,Organic 4010,forage,NA,NA
92,1,31,2,1_31_2,density,92,2,density_92_2,density92,density,92,MN18038X_008,Organic 4010,forage,NA,NA
93,1,31,3,1_31_3,density,92,1,density_92_1,density92,density,92,MN18038X_008,Organic 4010,forage,NA,NA
94,1,32,1,1_32_1,density,91,3,density_91_3,density91,density,91,IL17-7339,Icicle Winter Peas,forage,50,100
95,1,32,2,1_32_2,density,91,2,density_91_2,density91,density,91,IL17-7339,Icicle Winter Peas,forage,50,100
96,1,32,3,1_32_3,density,91,1,density_91_1,density91,density,91,IL17-7339,Icicle Winter Peas,forage,50,100
97,1,33,1,1_33_1,density,90,3,density_90_3,density90,density,90,IL17-1253,Icicle Winter Peas,forage,0,50
98,1,33,2,1_33_2,density,90,2,density_90_2,density90,density,90,IL17-1253,Icicle Winter Peas,forage,0,50
99,1,33,3,1_33_3,density,90,1,density_90_1,density90,density,90,IL17-1253,Icicle Winter Peas,forage,0,50
100,1,34,1,1_34_1,density,89,3,density_89_3,density89,density,89,ND180256,Icicle Winter Peas,forage,50,50
101,1,34,2,1_34_2,density,89,2,density_89_2,density89,density,89,ND180256,Icicle Winter Peas,forage,50,50
102,1,34,3,1_34_3,density,89,1,density_89_1,density89,density,89,ND180256,Icicle Winter Peas,forage,50,50
103,1,35,1,1_35_1,density,88,3,density_88_3,density88,density,88,ND180256,Icicle Winter Peas,forage,100,50
104,1,35,2,1_35_2,density,88,2,density_88_2,density88,density,88,ND180256,Icicle Winter Peas,forage,100,50
105,1,35,3,1_35_3,density,88,1,density_88_1,density88,density,88,ND180256,Icicle Winter Peas,forage,100,50
106,1,36,1,1_36_1,density,87,3,density_87_3,density87,density,87,IL17-7339,delta field pea,grain,50,100
107,1,36,2,1_36_2,density,87,2,density_87_2,density87,density,87,IL17-7339,delta field pea,grain,50,100
108,1,36,3,1_36_3,density,87,1,density_87_1,density87,density,87,IL17-7339,delta field pea,grain,50,100
109,1,37,1,1_37_1,density,86,3,density_86_3,density86,density,86,IL17-1253,AUSTRIAN FIELD PEAS,forage,100,50
110,1,37,2,1_37_2,density,86,2,density_86_2,density86,density,86,IL17-1253,AUSTRIAN FIELD PEAS,forage,100,50
111,1,37,3,1_37_3,density,86,1,density_86_1,density86,density,86,IL17-1253,AUSTRIAN FIELD PEAS,forage,100,50
112,1,38,1,1_38_1,density,85,3,density_85_3,density85,density,85,OT7100,AUSTRIAN FIELD PEAS,forage,100,50
113,1,38,2,1_38_2,density,85,2,density_85_2,density85,density,85,OT7100,AUSTRIAN FIELD PEAS,forage,100,50
114,1,38,3,1_38_3,density,85,1,density_85_1,density85,density,85,OT7100,AUSTRIAN FIELD PEAS,forage,100,50
115,1,39,1,1_39_1,density,84,3,density_84_3,density84,density,84,IL17-7339,DS Admiral,grain,50,50
116,1,39,2,1_39_2,density,84,2,density_84_2,density84,density,84,IL17-7339,DS Admiral,grain,50,50
117,1,39,3,1_39_3,density,84,1,density_84_1,density84,density,84,IL17-7339,DS Admiral,grain,50,50
118,1,40,1,1_40_1,density,83,3,density_83_3,density83,density,83,IL17-7339,delta field pea,grain,100,100
119,1,40,2,1_40_2,density,83,2,density_83_2,density83,density,83,IL17-7339,delta field pea,grain,100,100
120,1,40,3,1_40_3,density,83,1,density_83_1,density83,density,83,IL17-7339,delta field pea,grain,100,100
121,1,41,1,1_41_1,density,82,3,density_82_3,density82,density,82,IL17-1253,DS Admiral,grain,100,50
122,1,41,2,1_41_2,density,82,2,density_82_2,density82,density,82,IL17-1253,DS Admiral,grain,100,50
123,1,41,3,1_41_3,density,82,1,density_82_1,density82,density,82,IL17-1253,DS Admiral,grain,100,50
124,1,42,1,1_42_1,density,81,3,density_81_3,density81,density,81,OT7100,Icicle Winter Peas,forage,50,50
125,1,42,2,1_42_2,density,81,2,density_81_2,density81,density,81,OT7100,Icicle Winter Peas,forage,50,50
126,1,42,3,1_42_3,density,81,1,density_81_1,density81,density,81,OT7100,Icicle Winter Peas,forage,50,50
127,1,43,1,1_43_1,guard,OG_3,3,guard_OG_3_3,guardOG_3,guard,OG_3,Steuben,na,na,100,na
128,1,43,2,1_43_2,guard,OG_3,2,guard_OG_3_2,guardOG_3,guard,OG_3,Steuben,na,na,100,na
129,1,43,3,1_43_3,guard,OG_3,1,guard_OG_3_1,guardOG_3,guard,OG_3,Steuben,na,na,100,na
130,2,1,1,2_1_1,guard,OG_4,3,guard_OG_4_3,guardOG_4,guard,OG_4,Steuben,na,na,100,na
131,2,1,2,2_1_2,guard,OG_4,2,guard_OG_4_2,guardOG_4,guard,OG_4,Steuben,na,na,100,na
132,2,1,3,2_1_3,guard,OG_4,1,guard_OG_4_1,guardOG_4,guard,OG_4,Steuben,na,na,100,na
133,2,2,1,2_2_1,diversity,80,3,diversity_80_3,diversity80,diversity,80,IL17-1253,NDP150231Y,field,75,75
134,2,2,2,2_2_2,diversity,80,2,diversity_80_2,diversity80,diversity,80,IL17-1253,NDP150231Y,field,75,75
135,2,2,3,2_2_3,diversity,80,1,diversity_80_1,diversity80,diversity,80,IL17-1253,NDP150231Y,field,75,75
136,2,3,1,2_3_1,diversity,79,3,diversity_79_3,diversity79,diversity,79,GOPHER,NDP150412G,field,75,75
137,2,3,2,2_3_2,diversity,79,2,diversity_79_2,diversity79,diversity,79,GOPHER,NDP150412G,field,75,75
138,2,3,3,2_3_3,diversity,79,1,diversity_79_1,diversity79,diversity,79,GOPHER,NDP150412G,field,75,75
139,2,4,1,2_4_1,diversity,78,3,diversity_78_3,diversity78,diversity,78,MN18038X_008,AUSTRIAN FIELD PEAS,forage,75,75
140,2,4,2,2_4_2,diversity,78,2,diversity_78_2,diversity78,diversity,78,MN18038X_008,AUSTRIAN FIELD PEAS,forage,75,75
141,2,4,3,2_4_3,diversity,78,1,diversity_78_1,diversity78,diversity,78,MN18038X_008,AUSTRIAN FIELD PEAS,forage,75,75
142,2,5,1,2_5_1,diversity,77,3,diversity_77_3,diversity77,diversity,77,SD170935,Organic 4010,forage,75,75
143,2,5,2,2_5_2,diversity,77,2,diversity_77_2,diversity77,diversity,77,SD170935,Organic 4010,forage,75,75
144,2,5,3,2_5_3,diversity,77,1,diversity_77_1,diversity77,diversity,77,SD170935,Organic 4010,forage,75,75
